title,doi,author,affiliation
Addressing Correlated Latent Exogenous Variables in Debiased Recommender Systems,https://doi.org/10.1145/3711896.3736832,"['Shuqiang Zhang', 'Yuchao Zhang', 'Jinkun Chen', 'Haochen Sui']","['Dalhousie University', 'Beijing University of Chemical Technology', 'Dalhousie University', 'University of Michigan']"
Advancing Graph Foundation Models: A Data-Centric Perspective,https://doi.org/10.1145/3711896.3736833,"['Yuhan Li', 'Yuyao Wang', 'Jianheng Tang', 'Heng Chang', 'Yuxiang Ren', 'Jia Li']","['HKUST (GZ)', 'HKUST (GZ)', 'HKUST (GZ)', 'Huawei Technologies Co., Ltd.', 'Nanjing University', 'HKUST (GZ)']"
Advancing Molecular Graph-Text Pre-training via Fine-grained Alignment,https://doi.org/10.1145/3711896.3736834,"['Yibo Li', 'Yuan Fang', 'Mengmei Zhang', 'Chuan Shi']","['School of Computer Science, Beijing University of Posts and Telecommunications', 'School of Computing and Information Systems, Singapore Management University', 'China Telecom Bestpay', 'Institute of Computing Technology, Beijing University of Post and Telecommunication']"
Advancing Tool-Augmented Large Language Models via Meta-Verification and Reflection Learning,https://doi.org/10.1145/3711896.3736835,"['Zhiyuan Ma', 'Jiayu Liu', 'Xianzhen Luo', 'Zhenya Huang', 'Qingfu Zhu', 'Wanxiang Che']","['State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China', 'State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China', 'Research Center for Social Computing and Interactive Robotics, Harbin Institute of Techology', 'State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China', 'Research Center for Social Computing and Interactive Robotics, Harbin Institute of Technology', 'Research Center for Social Computing and Interactive Robotics, Harbin Institute of Technology']"
AffinityTune: A Prompt-Tuning Framework for Few-Shot Anomaly Detection on Graphs,https://doi.org/10.1145/3711896.3736836,"['Jingyan Chen', 'Guanghui Zhu', 'Guansong Pang', 'Chunfeng Yuan', 'Yihua Huang']","['School of Computer Science, Nanjing University', 'School of Computer Science, Nanjing University', 'School of Computing and Information Systems, Singapore Management University', 'School of Computer Science, Nanjing University', 'School of Computer Science, Nanjing University']"
AGODE: Adaptive Graph ODE for Grid-free Fluid Modeling and Domain Adaptation,https://doi.org/10.1145/3711896.3736837,"['Jie Lv', 'Shuyuan Yang', 'Zhixi Feng']","['School of Artificial Intelligence, Xidian University,Research Center, Zhejiang Dahua Technology Co.,Ltd.', 'School of Artificial Intelligence, Xidian University', 'School of Artificial Intelligence, Xidian University']"
AlphaAgent: LLM-Driven Alpha Mining with Regularized Exploration to Counteract Alpha Decay,https://doi.org/10.1145/3711896.3736838,"['Ziyi Tang', 'Zechuan Chen', 'Jiarui Yang', 'Jiayao Mai', 'Yongsen Zheng', 'Keze Wang', 'Jinrui Chen', 'Liang Lin']","['School of Computer Science and Engineering, SUN YAT-SEN UNIVERSITY', 'SCHOOL OF COMPUTER SCIENCE AND ENGINEERING, Sun Yat-Sen University', 'School of Computer Science And Engineering, SUN YAT-SEN UNIVERSITY', 'University of New South Wales', 'Nanyang Technological University', 'SUN YAT-SEN UNIVERSITY', 'School of Management and Economics, The Chinese University of Hong Kong', 'School of Computer Science and Engineering, SUN YAT-SEN UNIVERSITY']"
Alpine: Partial Unlabeled Graph Alignment,https://doi.org/10.1145/3711896.3736839,"['Petros Petsinis', 'Konstantinos Skitsas', 'Sayan Ranu', 'Davide Mottin', 'Panagiotis Karras']","['Aarhus University', 'Aarhus University', 'Indian Institute of Technology Delhi', 'Aarhus University', 'University of Copenhagen,Aarhus University']"
ALSA: Context-Sensitive Prompt Privacy Preservation in Large Language Models,https://doi.org/10.1145/3711896.3736840,"['Hongru Ma', 'Wenpeng Lu', 'Yanjie Liang', 'Tianyi Wang', 'Qi Zhang', 'Yingjie Zhu', 'Jiasheng Si']","['School of Software, Beihang University', 'Key Laboratory of Computing Power Network and Information Security, Ministry of Education, Shandong Computer Science Center (National Supercomputer Center in Jinan), Qilu University of Technology (Shandong Academy of Sciences)', 'School of Software, Shandong University', 'Key Laboratory of Computing Power Network and Information Security, Ministry of Education, Shandong Computer Science Center (National Supercomputer Center in Jinan), Qilu University of Technology (Shandong Academy of Sciences)', 'School of Computing, National University of Singapore', 'School of Computer Science and Technology, Harbin Institute of Technology (Shenzhen)', 'Key Laboratory of Computing Power Network and Information Security, Ministry of Education, Shandong Computer Science Center (National Supercomputer Center in Jinan), Qilu University of Technology (Shandong Academy of Sciences)']"
An Optimization Framework for Differentially Private Sparse Fine-Tuning,https://doi.org/10.1145/3711896.3736842,['Mehdi Makni'],"['Operations Research Center, Massachusetts Institute of Technology']"
An Efficient White-box LLM Watermarking for IP Protection on Online Market Platforms,https://doi.org/10.1145/3711896.3736841,"['Shuguang Yuan', 'Xingyu Su', 'Peizhuo Lv', 'Weiji Xue', 'Jing Yu', 'Xiaojie Zhu', 'Chi Chen']","['Key Laboratory of Computing Power Network and Information Security, Ministry of Education, Shandong Computer Science Center (National Supercomputer Center in Jinan), Qilu University of Technology (Shandong Academy of Sciences)', 'State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science', 'College of Computing and Data Science, Nanyang Technological University', 'State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science', 'State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science', 'King Abdullah University of Science and Technology', 'State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science']"
An Optimization Framework for Differentially Private Sparse Fine-Tuning,https://doi.org/10.1145/3711896.3736842,"['Mehdi Makni', 'Kayhan Behdin', 'Gabriel Afriat', 'Zheng Xu', 'Sergei Vassilvitskii', 'Natalia Ponomareva', 'Rahul Mazumder', 'Hussein Hazimeh']","['Operations Research Center, Massachusetts Institute of Technology', 'LinkedIn', 'Operations Research Center, Massachusetts Institute of Technology', 'Google Research, Google', 'Research, Google', 'research, Google', 'Sloan School of Management, Massachusetts Institute of Technology', 'Google']"
