title,author,doi,affiliation
Merlin: Multi-View Representation Learning for Robust Multivariate Time Series Forecasting with Unfixed Missing Rates,"Chengqing Yu (Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety, University of Chinese Academy of Sciences); Fei Wang (Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety, University of Chinese Academy of Sciences); Chuanguang Yang (Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety); Zezhi Shao (Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety); Tao Sun (Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety); Tangwen Qian (Institute of Computing Technology, Chinese Academy of ScienceS,State Key Laboratory of AI Safety); Wei Wei (School of Computer Science and Technology, Huazhong University of Science and Technology); Zhulin An (Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety, University of Chinese Academy of Sciences); Yongjun Xu (Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety, University of Chinese Academy of Sciences)",https://doi.org/10.1145/3711896.3737046,Chinese Academy of Sciences; University of Chinese Academy of Sciences; Huazhong University of Science and Technology
MetaEformer: Unveiling and Leveraging Meta-Patterns for Complex and Dynamic Systems Load Forecasting,Shaoyuan Huang (Tianjin University); Tiancheng Zhang (Tianjin University); Zhongtian Zhang (Tianjin University); Xiaofei Wang (Tianjin University); Lanjun Wang (Tianjin University); Xin Wang (Tianjin University),https://doi.org/10.1145/3711896.3737047,Tianjin University
MicroAdapt: Self-Evolutionary Dynamic Modeling Algorithms for Time-evolving Data Streams,"Yasuko Matsubara (SANKEN, Osaka University); Yasushi Sakurai (SANKEN, Osaka University)",https://doi.org/10.1145/3711896.3737048,Osaka University
Mitigating Data Imbalance in Time Series Classification Based on Counterfactual Minority Samples Augmentation,"Lei Wang (School of Big Data and Software Engineering, Chongqing University); Shanshan Huang (School of Big Data and Software Engineering, Chongqing University); Chunyuan Zheng (School of Mathematical Sciences, Peking University); Jun Liao (School of Big Data and Software Engineering, Chongqing University); Xiaofei Zhu (School of Computer Science and Engineering, Chongqing University of Technology); Haoxuan Li (Center for Data Science, Peking University); Li Liu (School of Big Data and Software Engineering, Chongqing University)",https://doi.org/10.1145/3711896.3737049,Chongqing University; Peking University
Mitigating Source Label Dependency in Time-Series Domain Adaptation under Label Shifts,"Jihye Na (School of Computing, Korea Advanced Institute of Science & Technology); Youngeun Nam (School of Computing, Korea Advanced Institute of Science and Technology); Junhyeok Kang (LG AI Research)",https://doi.org/10.1145/3711896.3737050,Korea Advanced Institute of Science & Technology; LG AI Research
Position-Aware Neighbor Aggregation for Dynamic Link Prediction,"C.S., Nankai-Baidu Joint Lab, TMCC, SysNet, DISSec, GTIISC, Nankai University; Liping Yi (College of C.S., Nankai University,College of CCSD, Nanyang Technological University); Huidong Ma (College of C.S., Nankai-Baidu Joint Lab, TMCC, SysNet, DISSec, GTIISC, Nankai University); Gang Wang (College of C.S., Nankai-Baidu Joint Lab, TMCC, SysNet, DISSec, GTIISC, Nankai University); Xiaoguang Liu (College of C.S., Nankai-Baidu Joint Lab, TMCC, SysNet, DISSec, GTIISC, Nankai University); Cheng Zhong (School of Computer, Electronics and Information, Guangxi University); Wentong Cai (College of CCSD, Nanyang Technological University)",https://doi.org/10.1145/3711896.3737084,Nankai University; Nankai University; Nankai University; Nankai University; Nankai University; Guangxi University; Nanyang Technological University
PPA-Game: Characterizing and Learning Competitive Dynamics Among Online Content Creators,"Yumeng Zhou (CCSE Lab, Beihang University); Mingzhe Liu (CCSE Lab, Beihang University); Leilei Sun (CCSE Lab, Beihang University); Yifei Huang (CCSE Lab, Beihang University); Liangzhe Han (CCSE Lab, Beihang University); Chuanren Liu (The University of Tennessee); Tongyu Zhu (CCSE Lab, Beihang University)",https://doi.org/10.1145/3711896.3737085,Beihang University; Beihang University; Beihang University; Beihang University; Beihang University; University of Tennessee; Beihang University
Practical contextual bandits for large-scale structured discrete constrained optimization problems,Pavithra Harsha (IBM Research); Chitra Subramanian (IBM Research); Naoki Abe (IBM Research); Shivaram Subramanian (IBM Research); Amadou Ba (IBM Research); Kevin Arturo Fernandez Roman (IBM CIO); Mauricio Longinos Garrido (IBM CIO); Chandrasekhar Narayanaswami (IBM Research),https://doi.org/10.1145/3711896.3737086,IBM Research
Predicting the Dynamics of Complex System via Multiscale Diffusion Autoencoder,"Ruikun Li (Shenzhen International Graduate School, Tsinghua University); Jingwen Cheng (Department of Electronic Engineering BNRist, Tsinghua University); Huandong Wang (Department of Electronic Engineering BNRist, Tsinghua University); Qingmin Liao (Shenzhen International Graduate School, Tsinghua University); Yong Li (Department of Electronic Engineering BNRist, Tsinghua University)",https://doi.org/10.1145/3711896.3737087,Tsinghua University
Preference-Optimized Retrieval and Ranking for Efficient Multimodal Recommendation,Zhenrui Yue (University of Illinois Urbana-Champaign); Huimin Zeng (University of Illinois Urbana-Champaign); Yueqi Wang (UC Berkeley); Julian McAuley (UC San Diego); Dong Wang (University of Illinois at Urbana-Champaign),https://doi.org/10.1145/3711896.3737088,University of Illinois Urbana-Champaign; University of Illinois Urbana-Champaign; UC Berkeley; UC San Diego; University of Illinois at Urbana-Champaign
